APHUS_MTRNT_PC_LGZ_DISTB_FCLTY_LCT_LKFM_NO|SIDO_NM|SIGNGU_NM|TNSHP_NM|EMD_NM|HONO_NM|HONO_LO|HONO_LA|MTRNT_CLSF|SMOEU|CNTRCT_DE|GTN|MNTH_RENTCG|FLR|BULD_YR|NGHB_LGZ_DISTB_FCLTY|NGHB_LGZ_DISTB_FCLTY_LO|NGHB_LGZ_DISTB_FCLTY_LA|NGHB_LGZ_DISTB_FCLTY_DSTNC|__source_file|LTNO_NM|LTNO_LO|LTNO_LA|BILDNG_YR|bonbun|bubun|bonbun4|bubun4|PNU
22342|서울특별시|강서구||화곡동||||전세|26.81|20240713|15750|0|4||우성상가시장|126.8255|37.52255|1.80716|유통시설2402_csv.csv|423-17|126.84246|37.53166|2015|||0000|0000|1150010300100000000
22343|서울특별시|강서구||화곡동||||월세|26.81|20240708|15750|20|2||우성상가시장|126.8255|37.52255|1.80716|유통시설2402_csv.csv|423-17|126.84246|37.53166|2015|||0000|0000|1150010300100000000
22344|서울특별시|강서구||화곡동||||전세|51.29|20240713|14400|0|2||우성상가시장|126.8255|37.52255|1.79976|유통시설2402_csv.csv|423-26|126.8427|37.53126|2002|||0000|0000|1150010300100000000
22345|서울특별시|강서구||화곡동||||전세|29.91|20240704|15490|0|3||우성상가시장|126.8255|37.52255|1.81985|유통시설2402_csv.csv|423-6|126.84266|37.53164|2015|||0000|0000|1150010300100000000
22346|서울특별시|강서구||화곡동||||전세|24.11|20241127|20160|0|2||우성상가시장|126.8255|37.52255|1.74554|유통시설2402_csv.csv|424-18|126.84204|37.53117|2020|||0000|0000|1150010300100000000
22347|서울특별시|강서구||화곡동||||전세|24.11|20240927|22000|0|3||우성상가시장|126.8255|37.52255|1.74554|유통시설2402_csv.csv|424-18|126.84204|37.53117|2020|||0000|0000|1150010300100000000
22348|서울특별시|강서구||화곡동||||전세|45.91|20241030|19900|0|3||우성상가시장|126.8255|37.52255|1.74717|유통시설2402_csv.csv|424-205|126.84226|37.53092|2016|||0000|0000|1150010300100000000
22349|서울특별시|강서구||화곡동||||전세|35.54|20240919|10000|0|3||우성상가시장|126.8255|37.52255|1.66214|유통시설2402_csv.csv|424-209|126.84116|37.53086|2018|||0000|0000|1150010300100000000
22350|서울특별시|강서구||화곡동||||전세|37.96|20240920|10500|0|2||우성상가시장|126.8255|37.52255|1.69362|유통시설2402_csv.csv|424-212|126.84064|37.53192|1988|||0000|0000|1150010300100000000
22351|서울특별시|강서구||화곡동||||월세|40.77|20241104|12000|30|4||우성상가시장|126.8255|37.52255|1.75262|유통시설2402_csv.csv|424-22|126.84174|37.53163|2000|||0000|0000|1150010300100000000
22352|서울특별시|강서구||화곡동||||월세|40.62|20241004|21400|12|2||우성상가시장|126.8255|37.52255|1.74012|유통시설2402_csv.csv|424-23|126.84176|37.53141|2016|||0000|0000|1150010300100000000
22353|서울특별시|강서구||화곡동||||월세|29.89|20240815|5500|55|2||우성상가시장|126.8255|37.52255|1.68916|유통시설2402_csv.csv|424-28|126.84163|37.53074|2022|||0000|0000|1150010300100000000
22354|서울특별시|강서구||화곡동||||월세|29.6|20240807|5500|60|4||우성상가시장|126.8255|37.52255|1.68916|유통시설2402_csv.csv|424-28|126.84163|37.53074|2022|||0000|0000|1150010300100000000
22355|서울특별시|강서구||화곡동||||월세|29.6|20240713|5500|65|5||우성상가시장|126.8255|37.52255|1.68916|유통시설2402_csv.csv|424-28|126.84163|37.53074|2022|||0000|0000|1150010300100000000
22356|서울특별시|강서구||화곡동||||월세|29.88|20240712|5500|55|4||우성상가시장|126.8255|37.52255|1.68916|유통시설2402_csv.csv|424-28|126.84163|37.53074|2022|||0000|0000|1150010300100000000
22357|서울특별시|강서구||화곡동||||전세|25.56|20240812|14300|0|4||우성상가시장|126.8255|37.52255|1.77332|유통시설2402_csv.csv|424-3|126.84172|37.53197|2014|||0000|0000|1150010300100000000
22358|서울특별시|강서구||화곡동||||전세|29.22|20241120|21400|0|6||우성상가시장|126.8255|37.52255|1.70234|유통시설2402_csv.csv|424-39|126.84109|37.53158|2018|||0000|0000|1150010300100000000
22359|서울특별시|강서구||화곡동||||월세|29.48|20240905|5000|75|7||우성상가시장|126.8255|37.52255|1.70234|유통시설2402_csv.csv|424-39|126.84109|37.53158|2018|||0000|0000|1150010300100000000
22360|서울특별시|강서구||화곡동||||월세|40.5|20241219|1000|50|1||우성상가시장|126.8255|37.52255|1.76108|유통시설2402_csv.csv|424-4|126.84151|37.53202|1992|||0000|0000|1150010300100000000
22361|서울특별시|강서구||화곡동||||월세|35.05|20240830|1000|33|-1||우성상가시장|126.8255|37.52255|1.66202|유통시설2402_csv.csv|424-52|126.84021|37.53189|1988|||0000|0000|1150010300100000000
22362|서울특별시|강서구||화곡동||||월세|20.14|20240923|1000|100|5||우성상가시장|126.8255|37.52255|1.6524|유통시설2402_csv.csv|424-61|126.84026|37.5317|2019|||0000|0000|1150010300100000000
22363|서울특별시|강서구||화곡동||||전세|37.0|20241015|18500|0|2||우성상가시장|126.8255|37.52255|1.67424|유통시설2402_csv.csv|424-66|126.84085|37.53141|2014|||0000|0000|1150010300100000000
22364|서울특별시|강서구||화곡동||||전세|26.77|20241005|18480|0|4||우성상가시장|126.8255|37.52255|1.64685|유통시설2402_csv.csv|424-69|126.8409|37.53093|2016|||0000|0000|1150010300100000000
22365|서울특별시|강서구||화곡동||||월세|25.22|20241003|17000|10|4||우성상가시장|126.8255|37.52255|1.64685|유통시설2402_csv.csv|424-69|126.8409|37.53093|2016|||0000|0000|1150010300100000000
22366|서울특별시|강서구||화곡동||||월세|29.54|20241129|1000|120|6||우성상가시장|126.8255|37.52255|1.63862|유통시설2402_csv.csv|424-70|126.84095|37.53074|2019|||0000|0000|1150010300100000000
22367|서울특별시|강서구||화곡동||||월세|29.81|20241031|19200|6|2||우성상가시장|126.8255|37.52255|1.64286|유통시설2402_csv.csv|424-80|126.84041|37.5314|2017|||0000|0000|1150010300100000000
22368|서울특별시|강서구||화곡동||||월세|43.29|20241009|24000|13|2||우성상가시장|126.8255|37.52255|1.64286|유통시설2402_csv.csv|424-80|126.84041|37.5314|2017|||0000|0000|1150010300100000000
22369|서울특별시|강서구||화곡동||||전세|54.96|20240810|15500|0|1||우성상가시장|126.8255|37.52255|1.5928|유통시설2402_csv.csv|424-88|126.84026|37.5308|1997|||0000|0000|1150010300100000000
22370|서울특별시|강서구||화곡동||||전세|50.22|20241024|15000|0|4||우성상가시장|126.8255|37.52255|1.69183|유통시설2402_csv.csv|425-41|126.84181|37.53056|2000|||0000|0000|1150010300100000000
22371|서울특별시|강서구||화곡동||||월세|29.01|20240730|500|63|2||홈플러스(주) 강서점|126.85492|37.55853|2.49679|유통시설2402_csv.csv|430-8|126.849|37.53658|2013|||0000|0000|1150010300100000000
22372|서울특별시|강서구||화곡동||||월세|52.78|20241018|2000|72|2||현대백화점목동점|126.87487|37.52666|2.18661|유통시설2402_csv.csv|451-6|126.85141|37.53303|2017|||0000|0000|1150010300100000000
22373|서울특별시|강서구||화곡동||||전세|43.04|20240724|18400|0|3||현대백화점목동점|126.87487|37.52666|2.18579|유통시설2402_csv.csv|451-8|126.85137|37.53289|2013|||0000|0000|1150010300100000000
22374|서울특별시|강서구||화곡동||||월세|75.0|20241223|17136|20|5||현대백화점목동점|126.87487|37.52666|2.24158|유통시설2402_csv.csv|452-1|126.8513|37.53419|2000|||0000|0000|1150010300100000000
22375|서울특별시|강서구||화곡동||||월세|29.79|20241119|5000|80|4||현대백화점목동점|126.87487|37.52666|2.20631|유통시설2402_csv.csv|452-11|126.85152|37.53378|2022|||0000|0000|1150010300100000000
22376|서울특별시|강서구||화곡동||||월세|29.89|20241028|500|60|5||현대백화점목동점|126.87487|37.52666|2.20631|유통시설2402_csv.csv|452-11|126.85152|37.53378|2022|||0000|0000|1150010300100000000
22377|서울특별시|강서구||화곡동||||전세|26.52|20241125|12600|0|5||현대백화점목동점|126.87487|37.52666|2.17667|유통시설2402_csv.csv|452-20|126.85178|37.53356|2014|||0000|0000|1150010300100000000
22378|서울특별시|강서구||화곡동||||전세|68.88|20240904|6300|0|-1||현대백화점목동점|126.87487|37.52666|2.08831|유통시설2402_csv.csv|455-15|126.8531|37.53405|1996|||0000|0000|1150010300100000000
22379|서울특별시|강서구||화곡동||||월세|68.07|20240719|5000|60|2||현대백화점목동점|126.87487|37.52666|2.08831|유통시설2402_csv.csv|455-15|126.8531|37.53405|1996|||0000|0000|1150010300100000000
22380|서울특별시|강서구||화곡동||||월세|84.85|20240720|5000|35|2||현대백화점목동점|126.87487|37.52666|2.05627|유통시설2402_csv.csv|455-25|126.85367|37.53436|2000|||0000|0000|1150010300100000000
22381|서울특별시|강서구||화곡동||||전세|52.8|20241226|12000|0|4||현대백화점목동점|126.87487|37.52666|2.0541|유통시설2402_csv.csv|455-26|126.85359|37.53416|2002|||0000|0000|1150010300100000000
22382|서울특별시|강서구||화곡동||||월세|38.22|20240712|10400|20|5||현대백화점목동점|126.87487|37.52666|2.0541|유통시설2402_csv.csv|455-26|126.85359|37.53416|2002|||0000|0000|1150010300100000000
22383|서울특별시|강서구||화곡동||||월세|38.88|20241109|8780|30|1||현대백화점목동점|126.87487|37.52666|2.1396|유통시설2402_csv.csv|455-6|126.85261|37.5343|1993|||0000|0000|1150010300100000000
22384|서울특별시|강서구||화곡동||||전세|60.09|20241015|14000|0|4||현대백화점목동점|126.87487|37.52666|1.99481|유통시설2402_csv.csv|456-10|126.85443|37.53433|1993|||0000|0000|1150010300100000000
22385|서울특별시|강서구||화곡동||||월세|53.88|20240828|300|60|3||현대백화점목동점|126.87487|37.52666|2.0383|유통시설2402_csv.csv|456-20|126.85396|37.53446|1997|||0000|0000|1150010300100000000
22386|서울특별시|강서구||화곡동||||전세|55.04|20240701|9000|0|-1||현대백화점목동점|126.87487|37.52666|2.0383|유통시설2402_csv.csv|456-20|126.85396|37.53446|1997|||0000|0000|1150010300100000000
