전용면적(㎡),대지권면적(㎡),계약일,거래금액(만원),층,거래유형,관내,PNU,매수자_M,매수자_개인,매수자_공공기관,매수자_기타,매수자_법인,매도자_M,매도자_개인,매도자_공공기관,매도자_기타,매도자_법인,등기일자,건축연령,계약기간,거래유형_중개거래,거래유형_직거래
63.77,46.2,2024-01-02,26500,1,중개거래,1,1150010300103770002,0,1,0,0,0,0,1,0,0,0,2024-01-30,29,,1,0
29.97,18.28,2024-01-02,32900,4,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-08,2,,0,1
29.95,18.27,2024-01-02,33900,5,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-08,2,,0,1
29.95,18.27,2024-01-02,38500,2,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-08,2,,0,1
29.99,18.29,2024-01-02,36000,5,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-08,2,,0,1
32.27,21.23,2024-01-02,14800,2,중개거래,1,1150010300101000045,0,0,0,0,1,0,0,0,0,1,2024-02-02,38,,1,0
58.76,28.06,2024-01-02,16200,-1,중개거래,1,1150010300101050047,0,1,0,0,0,0,1,0,0,0,2024-01-17,23,,1,0
58.26,33.2795,2023-12-30,24000,5,중개거래,1,1150010300110810006,1,0,0,0,0,1,0,0,0,0,,12,,1,0
24.74,18.9888,2023-12-30,35200,6,직거래,0,1150010300104750019,1,0,0,0,0,1,0,0,0,0,,1,,0,1
29.97,18.28,2023-12-29,32900,2,직거래,0,1150010300110410018,1,0,0,0,0,1,0,0,0,0,,1,,0,1
48.99,24.67,2023-12-29,23000,3,직거래,0,1150010300109170002,1,0,0,0,0,1,0,0,0,0,,22,,0,1
48.12,21.15,2023-12-29,12600,-1,중개거래,1,1150010300100560260,1,0,0,0,0,1,0,0,0,0,,22,,1,0
46.87,28.6,2023-12-29,45000,4,직거래,0,1150010300110410018,1,0,0,0,0,1,0,0,0,0,,1,,0,1
29.95,18.27,2023-12-29,38500,3,직거래,0,1150010300110410018,1,0,0,0,0,1,0,0,0,0,,1,,0,1
33.14,19.8917,2023-12-29,20000,4,중개거래,1,1150010300110880004,1,0,0,0,0,1,0,0,0,0,,12,,1,0
33.14,19.8917,2023-12-29,20000,4,중개거래,1,1150010300110880004,1,0,0,0,0,1,0,0,0,0,,12,,1,0
46.25,22.82,2023-12-29,18000,3,중개거래,1,1150010300101510008,1,0,0,0,0,1,0,0,0,0,,21,,1,0
65.18,32.09,2023-12-28,15800,-1,직거래,0,1150010300103430029,1,0,0,0,0,1,0,0,0,0,,23,,0,1
41.13,25.3751,2023-12-28,26700,6,직거래,0,1150010300103460062,1,0,0,0,0,1,0,0,0,0,,6,,0,1
47.55,29.12,2023-12-28,18500,3,중개거래,1,1150010300109580004,1,0,0,0,0,1,0,0,0,0,,29,,1,0
25.93,17.57,2023-12-28,20000,6,직거래,0,1150010300108320021,1,0,0,0,0,1,0,0,0,0,,6,,0,1
34.31,13.22,2023-12-28,20000,6,중개거래,1,1150010300100460221,1,0,0,0,0,1,0,0,0,0,,10,,1,0
45.48,35.02,2023-12-28,13300,4,중개거래,1,1150010300104600008,1,0,0,0,0,1,0,0,0,0,,16,,1,0
24.99,15.15,2023-12-27,14500,4,중개거래,1,1150010300100550041,1,0,0,0,0,1,0,0,0,0,,12,,1,0
41.65,19.87,2023-12-27,12000,-1,중개거래,1,1150010300101580026,1,0,0,0,0,1,0,0,0,0,,22,,1,0
54.17,30.84,2023-12-27,23500,2,중개거래,1,1150010300103620052,1,0,0,0,0,1,0,0,0,0,,21,,1,0
37.03,23.36,2023-12-27,26000,2,중개거래,1,1150010300103540038,1,0,0,0,0,1,0,0,0,0,,7,,1,0
31.54,12.5,2023-12-27,5800,5,중개거래,1,1150010300108680008,1,0,0,0,0,1,0,0,0,0,,21,,1,0
49.04,26.6661,2023-12-26,18000,4,중개거래,1,1150010300103670075,1,0,0,0,0,1,0,0,0,0,,24,,1,0
35.98,19.7849,2023-12-26,30900,3,중개거래,1,1150010300108300005,1,0,0,0,0,1,0,0,0,0,,5,,1,0
25.44,13.27,2023-12-26,13000,5,중개거래,1,1150010300104100194,1,0,0,0,0,1,0,0,0,0,,7,,1,0
53.48,29.75,2023-12-26,22930,4,중개거래,1,1150010300104680004,1,0,0,0,0,1,0,0,0,0,,13,,1,0
52.68,23.24,2023-12-25,13900,1,중개거래,1,1150010300100560044,1,0,0,0,0,1,0,0,0,0,,21,,1,0
64.4,27.63,2023-12-23,17000,3,직거래,0,1150010300101050418,1,0,0,0,0,1,0,0,0,0,,21,,0,1
36.9,25.02,2023-12-23,11000,-1,중개거래,1,1150010300100290091,1,0,0,0,0,1,0,0,0,0,,26,,1,0
58.81,24.52,2023-12-23,19000,1,중개거래,1,1150010300109740006,1,0,0,0,0,1,0,0,0,0,,22,,1,0
57.46,27.857,2023-12-23,23500,2,중개거래,1,1150010300108660032,1,0,0,0,0,1,0,0,0,0,,21,,1,0
29.95,19.2248,2023-12-22,23000,6,중개거래,1,1150010300110490051,1,0,0,0,0,1,0,0,0,0,,6,,1,0
29.77,17.94,2023-12-22,35900,4,직거래,0,1150010300103700030,1,0,0,0,0,1,0,0,0,0,,2,,0,1
28.93,20.58,2023-12-22,17000,3,중개거래,1,1150010300100240204,1,0,0,0,0,1,0,0,0,0,,5,,1,0
44.25,21.02,2023-12-21,17000,4,중개거래,1,1150010300103700012,1,0,0,0,0,1,0,0,0,0,,21,,1,0
60.64,28.26,2023-12-21,17300,-1,중개거래,1,1150010300109540003,1,0,0,0,0,1,0,0,0,0,,22,,1,0
63.6,31.67,2023-12-21,23000,2,중개거래,0,1150010300101560009,1,0,0,0,0,1,0,0,0,0,,23,,1,0
35.7,21.1,2023-12-21,30000,3,직거래,0,1150010300107950017,1,0,0,0,0,1,0,0,0,0,,7,,0,1
44.5,33.437,2023-12-20,55000,6,직거래,0,1150010300108310012,1,0,0,0,0,1,0,0,0,0,,2,,0,1
50.33,25.56,2023-12-20,20500,3,중개거래,1,1150010300100610146,1,0,0,0,0,1,0,0,0,0,,21,,1,0
45.78,25.12,2023-12-20,18300,4,중개거래,1,1150010300100460037,1,0,0,0,0,1,0,0,0,0,,15,,1,0
59.94,34.54,2023-12-19,21000,2,중개거래,0,1150010300104100237,1,0,0,0,0,1,0,0,0,0,,13,,1,0
69.78,32.51,2023-12-19,23300,5,중개거래,0,1150010300103710017,1,0,0,0,0,1,0,0,0,0,,15,,1,0
29.91,19.08,2023-12-19,20000,3,중개거래,1,1150010300101550019,1,0,0,0,0,1,0,0,0,0,,8,,1,0
37.19,21.85,2023-12-18,28800,6,직거래,0,1150010300103930021,1,0,0,0,0,1,0,0,0,0,,6,,0,1
29.54,23.0,2023-12-18,11500,1,직거래,0,1150010300103670083,1,0,0,0,0,1,0,0,0,0,,37,,0,1
62.98,30.61,2023-12-18,20900,4,중개거래,1,1150010300108670016,1,0,0,0,0,1,0,0,0,0,,21,,1,0
57.42,35.6,2023-12-18,26200,2,중개거래,1,1150010300103960009,1,0,0,0,0,1,0,0,0,0,,16,,1,0
60.42,27.85,2023-12-18,21000,2,중개거래,1,1150010300109850013,1,0,0,0,0,1,0,0,0,0,,23,,1,0
38.03,23.39,2023-12-18,11000,3,중개거래,1,1150010300100560123,1,0,0,0,0,1,0,0,0,0,,32,,1,0
38.91,21.29,2023-12-17,23500,2,중개거래,1,1150010300103770016,1,0,0,0,0,1,0,0,0,0,,7,,1,0
27.29,16.39,2023-12-16,19400,3,중개거래,1,1150010300103460093,1,0,0,0,0,1,0,0,0,0,,7,,1,0
39.64,23.2,2023-12-15,30000,3,중개거래,1,1150010300103500035,1,0,0,0,0,1,0,0,0,0,,7,,1,0
42.25,26.21,2023-12-15,14000,2,중개거래,1,1150010300104090047,1,0,0,0,0,1,0,0,0,0,,22,,1,0
44.39,24.36,2023-12-15,15000,3,직거래,0,1150010300109670021,1,0,0,0,0,1,0,0,0,0,,21,,0,1
60.01,36.67,2023-12-15,26000,5,중개거래,1,1150010300103800003,1,0,0,0,0,1,0,0,0,0,,15,,1,0
29.41,18.28,2023-12-15,19300,2,중개거래,1,1150010300104240037,1,0,0,0,0,1,0,0,0,0,,8,,1,0
28.8,14.34,2023-12-15,19000,1,직거래,0,1150010300110560027,1,0,0,0,0,1,0,0,0,0,,22,,0,1
59.66,34.04,2023-12-15,33000,2,중개거래,1,1150010300110700005,1,0,0,0,0,1,0,0,0,0,,19,,1,0
52.46,29.15,2023-12-15,24200,3,중개거래,1,1150010300103910005,1,0,0,0,0,1,0,0,0,0,,15,,1,0
49.54,29.66,2023-12-15,30800,2,중개거래,1,1150010300103800007,1,0,0,0,0,1,0,0,0,0,,7,,1,0
38.56,22.19,2023-12-15,19800,4,중개거래,1,1150010300110880000,1,0,0,0,0,1,0,0,0,0,,12,,1,0
40.04,23.52,2023-12-14,30000,4,직거래,0,1150010300111200004,1,0,0,0,0,1,0,0,0,0,,8,,0,1
39.985,24.792,2023-12-14,25500,5,중개거래,1,1150010300103420027,1,0,0,0,0,1,0,0,0,0,,8,,1,0
26.73,16.05,2023-12-14,18500,5,직거래,0,1150010300103460093,1,0,0,0,0,1,0,0,0,0,,7,,0,1
61.04,33.09,2023-12-14,25000,3,중개거래,1,1150010300109890001,1,0,0,0,0,1,0,0,0,0,,15,,1,0
53.42,31.44,2023-12-14,19000,3,중개거래,1,1150010300110810023,1,0,0,0,0,1,0,0,0,0,,22,,1,0
54.8,24.794,2023-12-14,18800,2,중개거래,1,1150010300104620001,1,0,0,0,0,1,0,0,0,0,,15,,1,0
29.57,23.63,2023-12-13,29000,5,중개거래,1,1150010300100760001,1,0,0,0,0,1,0,0,0,0,,4,,1,0
29.97,18.28,2023-12-13,32900,5,직거래,0,1150010300110410018,1,0,0,0,0,1,0,0,0,0,,1,,0,1
29.92,18.26,2023-12-13,36500,5,직거래,0,1150010300110410018,1,0,0,0,0,1,0,0,0,0,,1,,0,1
54.93,30.96,2023-12-13,19500,4,중개거래,1,1150010300109740011,1,0,0,0,0,1,0,0,0,0,,21,,1,0
28.54,17.62,2023-12-13,12500,3,중개거래,1,1150010300100560508,1,0,0,0,0,1,0,0,0,0,,32,,1,0
57.12,24.83,2023-12-13,13900,-1,중개거래,1,1150010300104090074,1,0,0,0,0,1,0,0,0,0,,21,,1,0
59.76,28.12,2023-12-13,25000,1,중개거래,1,1150010300110400019,1,0,0,0,0,1,0,0,0,0,,20,,1,0
59.71,28.66,2023-12-12,17750,-1,직거래,0,1150010300103720063,1,0,0,0,0,1,0,0,0,0,,29,,0,1
27.2,16.386,2023-12-12,19000,3,중개거래,1,1150010300103460092,1,0,0,0,0,1,0,0,0,0,,8,,1,0
